FID,IID,SOL,C1,C2,C3,C4
0,4002,0,-0.0338477,0.01572,0.00167464,-0.000373034
0,4003,0,-0.0395993,0.0139572,0.00378538,0.000295109
0,4004,0,-0.035944,0.0154123,0.00161697,-0.000339823
0,4005,0,-0.0352035,0.0139811,-4.67394e-05,-0.000905134
0,4006,0,-0.0407962,0.0131911,0.00689856,0.00239562
0,4007,0,-0.0390881,0.0134144,0.00386329,0.00115901
0,4008,0,-0.039294,0.0145496,0.00530172,0.000778222
0,4009,0,-0.0386538,0.015184,0.00317564,0.00040647
0,4010,0,-0.0374901,0.0172459,0.00431546,-0.000621077
0,4011,0,-0.0379421,0.0163994,0.00555002,0.000203671
0,4012,0,-0.0371755,0.0157611,0.00340139,-0.00010228
0,4013,0,-0.0386563,0.0144821,0.00324263,-0.00185113
0,4014,0,-0.0376497,0.015068,0.00134423,-0.00105743
0,4015,0,-0.0359223,0.0151883,0.00405304,-0.000587173
0,4016,0,-0.0247726,-0.00257584,-0.0247633,-0.000273288
0,4018,0,-0.0399819,0.0139523,0.00183462,0.000883731
0,4019,0,-0.0327807,0.0154652,0.00220161,-0.000440682
0,4021,0,-0.0364558,0.0156505,0.00514977,-5.34573e-05
0,4022,0,-0.0366839,0.0171697,0.000317819,-0.0011768
0,4023,0,-0.0362987,0.0129898,0.003597,-0.00185611
0,4024,0,-0.041717,0.0135591,0.0039504,0.00144661
0,4025,0,-0.0388418,0.0170205,0.00185326,-0.00139506
0,4026,0,-0.0398076,0.0152281,0.00227418,0.000838639
0,4027,0,-0.0405838,0.0121492,0.00320543,0.001086
0,4028,0,-0.0388609,0.0155747,0.00583256,0.000664436
0,4030,0,-0.0402888,0.0130609,0.00604626,0.000707155
0,4032,0,-0.0336993,0.0146906,0.00218767,-0.000751206
0,4034,0,-0.0381921,0.0160198,0.0030712,0.000985107
0,4036,0,-0.0371913,0.0150327,-0.000213275,-0.00276446
0,4037,0,-0.0354638,0.0161354,0.00638676,-0.000779344
0,4038,0,-0.0397966,0.012785,0.0031826,0.00160886
0,4039,0,-0.0394979,0.0153757,0.00212441,0.00210579
0,4040,0,-0.0365084,0.0153906,0.00269157,-0.00127477
0,4041,0,-0.0348976,0.0148283,0.0068276,0.000105468
0,4042,0,-0.0369279,0.0155199,0.00493859,0.000542959
0,4043,0,-0.0359624,0.012795,0.00200609,-8.92569e-05
0,4044,0,-0.038288,0.0148751,0.000249495,-0.00106235
0,4045,0,-0.0348002,0.0159373,0.00407042,-0.000290582
0,4046,0,-0.0381481,0.0156636,0.00467773,-0.000248171
0,4047,0,-0.0411848,0.0151218,0.00472455,-0.000684215
0,4048,0,-0.0379953,0.0146778,0.00456755,-0.000510145
0,4049,0,-0.0391552,0.0131272,0.00282292,0.00155623
0,4050,0,-0.0348218,0.0156126,0.00197198,0.0005492
0,4051,0,-0.0404244,0.0153951,-0.000339255,0.00264107
0,4052,0,-0.041024,0.0139282,0.00349406,0.00125762
0,4054,0,-0.0391347,0.0130956,0.00723222,0.00270915
0,4055,0,-0.0381484,0.0136816,0.000931968,-0.00112214
0,4056,0,-0.0407901,0.0140199,0.00389451,0.000627198
0,4057,0,-0.0364498,0.0161451,0.00242766,-0.000311714
0,4058,0,-0.0407489,0.0153059,0.00403539,0.000812782
0,4059,0,-0.0384719,0.0190828,0.00389023,-0.000759782
0,4061,0,-0.0344719,0.0156214,0.00445409,-0.000256352
0,4062,0,-0.0352408,0.0150115,0.00053216,0.000726002
0,4063,0,-0.0354893,0.0141132,0.00379071,-0.000550355
0,4064,0,-0.0392826,0.0163633,0.0039472,-0.00210588
0,4066,0,-0.0365116,0.0161201,0.00215903,-0.0012758
0,4067,0,-0.0357742,0.0150663,0.00365505,-0.000946845
0,4068,0,-0.0395356,0.0162057,0.00253089,-0.000818208
0,4069,0,-0.0330033,0.0146906,0.00276675,0.00104199
0,4070,0,-0.0395157,0.0155245,0.00531694,0.00255173
0,4071,0,-0.0402412,0.0158295,-0.000501722,0.000778823
0,4072,0,-0.0409923,0.011834,0.00247058,-0.000492152
0,4073,0,-0.0328698,0.0152768,0.00235978,-0.00135715
0,4074,0,-0.0395038,0.0167004,0.00383595,0.0015772
0,4075,0,-0.0378678,0.0117896,0.00356315,-0.000128338
0,4076,0,-0.0375766,0.0157028,0.00159411,0.00167178
0,4078,0,-0.035233,0.0136149,0.00476047,-0.000491448
0,4079,0,-0.0373674,0.0167465,0.00415402,-0.000648336
0,4080,0,-0.0381373,0.0142728,0.00649132,-0.0020041
0,4081,0,-0.0404754,0.0140538,0.000910184,-0.000280307
0,4082,0,-0.0405224,0.0163728,0.00241972,0.000754567
0,4083,0,-0.037911,0.0144889,0.00152859,0.000847974
0,4084,0,-0.0378667,0.0158583,0.000374331,0.00128662
0,4085,0,-0.0355841,0.0168814,0.000794316,-0.00185513
0,4086,0,-0.0321496,0.0156562,0.00144914,-0.00132042
0,4087,0,-0.0386705,0.016052,0.00106607,0.000386444
0,4088,0,-0.0384588,0.0169944,0.00282435,0.00214816
0,4089,0,-0.0390112,0.0161177,-9.11486e-05,-0.000988655
0,4090,0,-0.0371663,0.0130744,0.00377396,0.000777344
0,4091,0,-0.0400777,0.0168568,0.00253722,-0.000399495
0,4092,0,-0.0368368,0.0167014,0.00329073,-0.00167399
0,4093,0,-0.0381197,0.0134363,0.00369025,-0.000269098
0,4094,0,-0.0364579,0.0142082,0.00257473,0.00126364
0,4095,0,-0.0358569,0.0123449,0.00524538,-0.00137065
0,4096,0,-0.0358488,0.0140236,0.00317906,0.0009014
0,4097,0,-0.0390618,0.0140255,0.00185916,-0.00175256
0,4098,0,-0.0362483,0.0146786,-0.000246614,-0.00328422
0,4100,0,-0.038349,0.0141233,0.00575506,0.000554871
0,189,0,-0.0366489,0.0121187,0.00372421,-0.00292213
0,3001,0,-0.0308507,0.0138929,-0.00167353,-0.00052815
0,3002,0,-0.0389841,0.0140812,0.00264857,-0.00166206
0,3003,0,-0.0396343,0.0161685,0.00550547,-0.000418618
0,3004,0,-0.0385427,0.0155001,0.00345496,0.000406216
0,3006,0,-0.0397796,0.0161179,0.00468564,0.00210186
0,3008,0,-0.0385008,0.0141182,0.00191055,0.00263613
0,3011,0,-0.0383549,0.015885,0.0019854,0.00142175
0,3013,0,-0.0384935,0.0156524,0.00404938,-0.00312738
0,3015,0,-0.0394765,0.0155665,0.00341252,0.00108024
0,3016,0,-0.0361566,0.0148102,0.00426731,0.00029647
0,3017,0,-0.0399389,0.0173554,0.00115367,0.0018472
0,3018,0,-0.0347869,0.0141185,0.00410289,0.00102219
0,3019,0,-0.0384252,0.0142602,0.00377735,-0.00155617
0,3020,0,-0.0352776,0.0146793,0.000417238,-0.00107153
0,3021,0,-0.0375896,0.015656,0.0024469,-0.00103797
0,3022,0,-0.0402322,0.0143359,0.00440894,0.000937484
0,3023,0,-0.0387587,0.0170981,0.00441984,-0.00076735
0,3024,0,-0.0225907,0.0027587,-0.00200327,0.00344377
0,3027,0,-0.0390132,0.0141784,0.00376279,-0.000447532
0,3030,0,-0.0385069,0.0144223,0.00164349,-0.000175919
0,3032,0,-0.0383748,0.0174362,0.00310173,-0.000484897
0,3034,0,-0.0378809,0.012947,0.00234561,0.000580436
0,3035,0,-0.0366159,0.0126009,0.00296905,-0.000337791
0,3038,0,-0.0341944,0.0143858,0.00255214,-0.000306868
0,3039,0,-0.0384837,0.013106,0.00483521,0.000702403
0,3041,0,-0.034886,0.014642,0.00081065,-0.00166259
0,3042,0,-0.0385724,0.0153178,0.00493134,-0.00140594
0,3046,0,-0.037786,0.0133332,0.00252647,-2.088e-05
0,3047,0,-0.0391465,0.0146161,0.00286772,-0.000978442
0,3048,0,-0.0361035,0.017055,0.00429269,-0.000896937
0,3054,0,-0.0405331,0.0161311,0.00303234,0.00270454
0,3056,0,-0.0389421,0.0145959,0.00417589,0.00110538
0,3057,0,-0.0416953,0.0139679,0.00698388,0.00113187
0,3058,0,-0.0372269,0.0151182,0.00488245,0.000380759
0,3059,0,-0.0388692,0.0128416,0.00448973,0.000133843
0,3063,0,-0.0373118,0.0120776,0.00493656,0.000161785
0,3067,0,-0.0371649,0.0151332,0.00323645,0.000172205
0,3070,0,-0.0392142,0.0156791,0.0021424,-9.75597e-05
0,3076,0,-0.0229779,0.0198767,0.00293696,-0.00114437
0,3077,0,-0.0371091,0.0198271,-0.000407169,-0.00291566
0,3080,0,-0.0365965,0.0152583,0.00462973,-0.00235945
0,3082,0,-0.0414243,0.0161984,0.00342598,4.63454e-05
0,3086,0,-0.0361307,0.0152955,2.05457e-05,0.00253494
0,3087,0,-0.0380224,0.0153877,-0.000565556,-0.000137144
0,3090,0,-0.042287,0.0148558,0.00461906,0.000485003
0,3094,0,-0.0380744,0.0143885,0.00285038,0.00130386
0,3095,0,-0.033138,0.0143547,0.00268826,0.000171584
0,3096,0,-0.0401238,0.0155602,0.00322302,-0.000238377
0,3097,0,-0.0361076,0.013315,0.002767,0.00250479
0,3099,0,-0.03424,0.0136507,0.00116272,-0.00010942
0,C03001,0,-0.0382473,0.0163682,0.00305393,-0.000137816
0,C03002,0,-0.0380885,0.0157648,-0.000582672,-0.000432766
0,C03003,0,-0.03801,0.0167857,0.0026557,0.00397785
0,C03009,0,-0.0410624,0.0150014,0.00376856,0.00369189
0,C03010,0,-0.0350588,0.0125671,0.00106717,-0.00292343
0,C03012,0,-0.0395155,0.016645,0.00410551,0.000363714
0,C03013,0,-0.0336235,0.0164751,0.00404453,0.000411915
0,C03015,0,-0.0374578,0.0127877,0.00219165,0.00269897
0,C03017,0,-0.0392144,0.0156253,0.00393357,-0.000357692
0,C03021,0,-0.033827,0.015282,0.00120421,-0.0032884
0,C03022,0,-0.0347648,0.0165393,0.00513358,-0.0006946
0,C03027,0,-0.0344648,0.0148126,0.00164768,0.000195733
0,C03028,0,-0.0401016,0.0138967,0.00254838,0.00264254
0,C03030,0,-0.0385449,0.0159779,0.000310386,-0.000691112
0,C03032,0,-0.0362592,0.0137938,-6.27583e-05,-0.00016549
0,C03034,0,-0.0345824,0.0133579,0.0020041,-0.00123717
0,C03035,0,-0.0390177,0.0110272,0.000570108,-0.000236506
0,C03038,0,-0.035926,0.0146546,0.00656845,-0.000928011
0,C03046,0,-0.0376019,0.0154557,0.00288603,0.00360114
0,C03054,0,-0.0399205,0.0149651,0.00619222,-0.000485266
0,C03059,0,-0.0380419,0.0154764,0.00330873,0.000775226
0,C03067,0,-0.0332428,0.0175746,0.00568465,-0.00327159
0,C03082,0,-0.0377808,0.0157896,0.00476374,-0.000344866
0,C03087,0,-0.0392821,0.0156491,0.00552294,-0.00107331
