FID,IID,SOL,C1,C2,C3,C4
CEU,1,0,0.048232,-0.087848,-0.0164167,-0.00490504
CEU,2,0,0.0486188,-0.0891833,-0.0172351,-0.00811642
CEU,3,0,0.0469761,-0.0896203,-0.0173428,-0.00464457
CEU,4,0,0.0450717,-0.0888715,-0.014313,-0.00458898
CEU,7,0,0.0471308,-0.0883251,-0.018095,-0.0064438
CEU,9,0,0.0451641,-0.0890299,-0.0192993,-0.00528819
CEU,10,0,0.046926,-0.0907369,-0.0159847,-0.00781843
CEU,11,0,0.0454087,-0.0899283,-0.0197691,-0.00374226
CEU,14,0,0.0472124,-0.0901687,-0.016647,-0.00580777
CEU,15,0,0.0476756,-0.090391,-0.0176704,-0.00521542
CEU,17,0,0.0480194,-0.0919554,-0.0174368,-0.00471169
CEU,18,0,0.0463422,-0.0898522,-0.015235,-0.00690498
CEU,20,0,0.0445481,-0.089644,-0.017202,-0.00318682
CEU,21,0,0.0457106,-0.0913058,-0.0158214,-0.00620856
CEU,23,0,0.043852,-0.0901721,-0.0152025,-0.00536872
CEU,24,0,0.0467543,-0.0902943,-0.0160606,-0.00620189
CEU,25,0,0.0459506,-0.0895796,-0.0143561,-0.00467826
CEU,26,0,0.0480125,-0.0880539,-0.0167759,-0.00571126
CEU,28,0,0.0471361,-0.0877682,-0.0167861,-0.00556284
CEU,32,0,0.0462938,-0.0881883,-0.0133737,-0.00586425
CEU,33,0,0.0460706,-0.0883949,-0.0165813,-0.00613645
CEU,34,0,0.0460022,-0.0896231,-0.0192156,-0.00366004
CEU,35,0,0.047479,-0.0911552,-0.0187565,-0.00666191
CEU,36,0,0.0457926,-0.0882462,-0.0183241,-0.00556679
CEU,37,0,0.0454536,-0.0884644,-0.0169087,-0.00531379
CEU,38,0,0.0462945,-0.0898903,-0.0172263,-0.0038454
CEU,39,0,0.0467807,-0.0892978,-0.0171215,-0.00404943
CEU,40,0,0.0469093,-0.0915611,-0.021633,-0.00735346
CEU,41,0,0.0467245,-0.0897102,-0.0173485,-0.00673792
CEU,44,0,0.0469235,-0.0905854,-0.0167063,-0.00659714
CEU,46,0,0.0459005,-0.0892165,-0.0168086,-0.00362106
CEU,48,0,0.0474606,-0.091209,-0.0199849,-0.00687837
CEU,50,0,0.0460295,-0.0870883,-0.0158005,-0.00481835
CEU,51,0,0.0470318,-0.0891809,-0.0168966,-0.00767008
CEU,52,0,0.0446871,-0.089401,-0.0169814,-0.00501307
